Date,Type,Link
2026-06-06 17:05:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7468863320326864896?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7468863320326864896%2C7468897444181770240%29
2026-06-06 17:05:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7468863320326864896?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7468863320326864896%2C7468888960232996865%29
2026-06-06 03:20:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7468863320326864896?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7468863320326864896%2C7468863658882859008%29
2026-06-05 15:22:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7467980294709641216
2026-06-05 15:21:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7468679196874125312
2026-06-05 02:37:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458419147904020480
2026-06-05 02:33:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7467570687113596929
2026-06-05 02:32:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7468459705678376961
2026-06-05 01:57:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7468466030911107072
2026-06-03 15:43:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7465440136223453185
2026-06-03 15:43:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7467892937893400576
2026-06-03 03:36:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7464790454484783104
2026-05-21 22:21:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455296684059680768?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7455296684059680768%2C7456078015555465216%29
2026-05-21 22:21:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455296684059680768?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7455296684059680768%2C7455383366620639234%29
2026-05-21 22:21:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455296684059680768?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7455296684059680768%2C7456077983791935488%29
2026-05-21 22:21:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455296684059680768?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7455296684059680768%2C7455308894073155585%29
2026-05-21 22:21:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455296684059680768?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7455296684059680768%2C7456201138023862273%29
2026-05-21 22:21:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455296684059680768?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7455296684059680768%2C7455563290631520256%29
2026-05-21 22:21:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455296684059680768?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7455296684059680768%2C7455305647551705088%29
2026-05-21 22:18:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7462925587939028992
2026-05-21 22:17:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7463313187849904129
2026-05-21 22:17:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7461167148992942080
2026-05-21 22:15:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7463261869462519808
2026-05-21 22:14:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7463255579231412224
2026-05-18 16:38:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7462042362454654976
