Action,Date,Ad Title/Id,Page/App
Impression,2026/04/05,1080447054,"Truecaller: Caller ID, Blocker"
Impression,2026/04/05,1082379854,"Truecaller: Caller ID, Blocker"
Impression,2026/04/05,1186197443,"Truecaller: Caller ID, Blocker"
Impression,2026/04/05,1202907023,"Truecaller: Caller ID, Blocker"
Impression,2026/04/05,1233242704,"Truecaller: Caller ID, Blocker"
Impression,2026/04/05,1365833866,"Truecaller: Caller ID, Blocker"
Impression,2026/04/05,1382043786,"Truecaller: Caller ID, Blocker"
Impression,2026/04/05,1383721206,"Truecaller: Caller ID, Blocker"
Impression,2026/04/05,1383941896,"Truecaller: Caller ID, Blocker"
Impression,2026/04/06,1193990313,"Truecaller: Caller ID, Blocker"
Impression,2026/04/07,949990746,"Truecaller: Caller ID, Blocker"
Impression,2026/04/11,1240050164,"Truecaller: Caller ID, Blocker"
Impression,2026/04/11,1240923124,"Truecaller: Caller ID, Blocker"
Impression,2026/04/12,1238773344,"Truecaller: Caller ID, Blocker"
Impression,2026/04/13,1365523206,"Truecaller: Caller ID, Blocker"
Impression,2026/04/15,1361689296,Nonogram.com
Impression,2026/04/15,695094484,Nonogram.com
Impression,2026/04/20,1240050164,yahoo.com
Impression,2026/04/22,1240050164,"Truecaller: Caller ID, Blocker"
Impression,2026/04/22,1388685876,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1054507646,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1149694194,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1233110084,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1238773344,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1239165614,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1239613114,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1239949824,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1279654164,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1284888034,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1286389374,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1332005886,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1383583936,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1383663286,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1383721206,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1397858906,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1398701816,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1398721466,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1398761326,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1398780626,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1398790366,"Truecaller: Caller ID, Blocker"
Impression,2026/05/01,1400649566,"Truecaller: Caller ID, Blocker"
Impression,2026/05/04,1365503256,"Truecaller: Caller ID, Blocker"
Impression,2026/05/04,1399033686,"Truecaller: Caller ID, Blocker"
Impression,2026/05/04,1400649566,"Truecaller: Caller ID, Blocker"
Impression,2026/05/05,1211599023,"Truecaller: Caller ID, Blocker"
Impression,2026/05/05,1279731404,"Truecaller: Caller ID, Blocker"
Impression,2026/05/05,1284392004,"Truecaller: Caller ID, Blocker"
Impression,2026/05/05,1284397414,"Truecaller: Caller ID, Blocker"
Impression,2026/05/05,1391903246,"Truecaller: Caller ID, Blocker"
Impression,2026/05/05,1397858906,"Truecaller: Caller ID, Blocker"
Impression,2026/05/05,1400649566,"Truecaller: Caller ID, Blocker"
Impression,2026/05/05,216147724,"Truecaller: Caller ID, Blocker"
Impression,2026/05/08,1238773344,"Truecaller: Caller ID, Blocker"
Impression,2026/05/08,1398721466,"Truecaller: Caller ID, Blocker"
Impression,2026/05/08,194135173,"Truecaller: Caller ID, Blocker"
Impression,2026/05/09,1239949824,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1149694194,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1193792423,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1212280313,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1230424674,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1240923124,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1246527854,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1281790484,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1284397414,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1285007064,"Truecaller: Caller ID, Blocker"
Impression,2026/05/11,1286229624,"Truecaller: Caller ID, Blocker"
